Timestamp,Discord tag (optional),"Do you stream ? (Twitch, YouTube, X, etc.)",Do you watch streams ?,How likely would you be to watch a live stream of this game?,How likely are you to participate in the chat if a streamer is playing this game?,How engaging did you find this gameplay?,How likely would you be to recommend this game to a friend based on this video?,"The new twitch features allow viewers to vote for extra events that happen in the game, such as modifying the game speed, spawning extra enemies or starting weather effects beyond their usual start time

Considering the above description, how well did the video convey this understanding?","How much did the Twitch features (e.g., voting, viewer names) add to your viewing experience?","If you were to stream this game yourself, how likely would you be to use the Twitch integration features ?","What, if anything, did you dislike or find confusing?",Do you have any suggestions for improving the viewing experience or the game itself?,"If you have any comments, or notes you would like to share, please write them here."
27/05/2025 19:10:45,,No,Yes,4,5,4,4,3,4,4,,,
27/05/2025 19:30:53,,No,No,4,4,4,4,4,4,4,,,twitch features made the game more engaging
27/05/2025 19:41:08,,No,No,3,3,4,4,5,4,4,,,it's better with twitch features
27/05/2025 20:03:00,,No,No,2,2,2,2,2,2,2,not a fan of this kind of game,,
27/05/2025 20:08:35,,No,Yes,3,2,4,4,4,4,4,,,"Very simple way for a streamer to engage with their chat in a cool way, i feel like this could expand to even more types of games, like an integration for other games to make the streamer sort of do challenges within a game."
27/05/2025 20:19:33,1inamelon,No,Yes,3,3,2,3,5,3,5,This has been done already with crowd control vampire survivors.,use anime art like holocure,I wanna see twitch chat controlled rpgs like oldschool runescape
27/05/2025 20:29:17,,No,No,4,2,3,1,3,1,1,People who watch streams.,"If you give the audience bonus code, or secret info.
Or potato",Pay up $ i did some work in this query.
27/05/2025 21:07:34,,No,Yes,2,3,2,1,4,5,5,,,"i think its a completely different experience as a viewer. if i were totally fried in the brain i would maybe rather like the one where its just a guy talking, but this is a lot more fun in general i think"
27/05/2025 22:04:13,,No,Yes,1,1,2,3,2,1,3,"dunno what is so special about those streaming features, the commentary is quite boring, it doesn't explain what the game is about all that much, doesn't give any interesting tips or try to be entertaining really. the gameplay looks too slow and repetitive to get into it and it requires constant attention of the streamer so feels like it would be difficult to split attention to the chat without pausing the game. And 10 min feels like too long for the same stuff",,
28/05/2025 02:51:12,.remdog,Yes,Yes,3,3,4,2,4,3,5,"Text awkwardly spaced in boxes, UI font sizing feels inconsistent","Fix fonts wandering out of boxes, add a combo multiplier to encourage uptime, add enemies that buff other enemies (make them faster, etc), add an option for rerolling level up bonuses so players can chase more specific builds",
28/05/2025 10:49:20,бьбб,No,Yes,3,3,5,5,4,2,2,-,-,-
28/05/2025 15:29:14,,No,Yes,4,5,4,4,5,4,5,The sound of the stream is low so I had to increase volume to hear the streamer,Add different colors for the stream effects depending on target group of viewers and add some background music for the game,"I would check if there is possibility to add more user interaction, so user could potentially speak in the voice chat if that is possible"